idx	tag	id	class	display	x	y	width	height	margin_t	margin_r	margin_b	margin_l	padding_t	padding_r	padding_b	padding_l	border_t	border_r	border_b	border_l	flex_grow	flex_shrink	position	box_sizing
61	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
62	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
63	link			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
64	link			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
65	link			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
66	link			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
67	link			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
68	link			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
69	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
70	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
71	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
72	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
73	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
74	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
75	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
76	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
77	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
78	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
79	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
80	meta			none	0.00	0.00	1024.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	static	content-box
